"asset","asset_type","proposed_package","confidence","lines","exported_functions_detected","rationale"
"DESCRIPTION","metadata","shared","medium",96,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/COPYRIGHTS","inst","shared","medium",21,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/examples/damped_heat_equation_examples.R","inst","shared","medium",421,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/examples/noisy_circle_core_workflow_vignette.html","inst","shared","medium",1283,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/examples/noisy_circle_core_workflow_vignette.pdf","inst","shared","medium",2715,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/examples/sigmoid_fns_main.R","inst","shared","medium",23,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/examples/sigmoid_fns.R","inst","shared","medium",228,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/include/Eigen/","inst","shared","medium",NA,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"inst/include/libqhull/","inst","shared","medium",NA,"","Cross-cutting infrastructure, generated registration, utilities, synthetic/test helpers, or shared numerical support."
"inst/licenses/ANN-Copyright-Notice.txt","inst","shared","medium",47,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/licenses/LGPL-2.1.txt","inst","shared","medium",450,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/licenses/MPL-2.0.txt","inst","shared","medium",373,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/licenses/Qhull-COPYING.txt","inst","shared","medium",38,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/scripts/build_retina_vignette_assets.R","inst","shared","medium",283,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"inst/WORDLIST","inst","shared","medium",447,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"NAMESPACE","namespace","shared","medium",818,"","Package-level metadata, examples, or documentation that must be reassigned after package boundaries are finalized."
"R/2d_smooth_morse_smale.R","R","geosmooth","high",1912,"compute.gradient.trajectory;compute.morse.smale.cells;create.grid;create.morse.smale.complex;critical.points.plot;evaluate.function.on.grid;evaluate.function.on.grid.as.vector;find.critical.points;function.contours.plot;gradient.trajectories.plot;gradient.trajectory.plot;grid.critical.points.plot;morse.analysis.plot;morse.smale.cells.plot;morse.smale.complex.plot;morse.smale.complex.plot.from.critical;plot.morse.smale.trajectories.from.point;separatrices.with.cells.plot","Conditional-expectation, smoothing, regression, trend-filtering, or fitted-response model."
"R/analyze_comono_distributions.R","R","gflowx","medium",224,"plot.comono.diagnostics","Analysis workflow, association testing, clustering, visualization, microbiome-specific, or experimental application layer."
"R/annotation.R","R","undecided","low",419,"prof.fn;standardize.string","Needs manual review."
